id;Linkin Nimi;UniqueNimi;Kieli;Url;KieliNimi
1;nimi;nimi;fi;https://www.facebook.com;Suomi
5;Testilinkki2;Testilinkki2;fi;https://www.hs.fi;Suomi
49;Tervetuloa Suomeen!;Tervetuloa Suomeen!;fi;http://www.infopankki.fi/fi-FI/tervetuloa_suomeen/;Suomi
50;Finnish Courses test;Finnish Courses test;fi;https://finnishcourses.fi/fi;Suomi
62;Testilinkki;Testilinkki;fi;https://www.ampparit.com;Suomi
78;fsddfs;fsddfs;fi;fdsfdsf;Suomi
111;Koulutus;Koulutus;fi;http://www.infopankki.fi/fi-FI/koulutus/;Suomi
134;Ulkomaalaisen rekisteröinti;Ulkomaalaisen rekisteröinti;fi;https://dvv.fi/ulkomaalaisen-rekisterointi;Suomi
135;Helsingin maistraatti;Helsingin maistraatti;fi;http://www.maistraatti.fi/fi/maistraatit/Etela-Suomen-laani/Helsingin-maistraatti/Helsingin-maistraatti/;Suomi
136;Espoon maistraatti;Espoon maistraatti;fi;http://www.maistraatti.fi/fi/maistraatit/Etela-Suomen-laani/Lansi-Uudenmaan-maistraatti/Espoon-yksikko/;Suomi
137;testi;testi;fi;http://www.maistraatti.fi/maistraatit/Etela-Suomen-laani/Ita-Uudenmaan-maistraatti/Vantaan-yksikko/;Suomi
139;Toimipisteiden yhteystiedot;Toimipisteiden yhteystiedot;fi;https://www.te-palvelut.fi;Suomi
142;testiKurssihaku;testiKurssihaku;fi;https://finnishcourses.fi/fi;Suomi
143;testiKurssihaku2;testiKurssihaku2;fi;https://finnishcourses.fi/fi;Suomi
147;Esitteitä ja videoita maahanmuuttajille;Esitteitä ja videoita maahanmuuttajille;fi;http://te-info.fi/;Suomi
181;testilinkki alleviivaus;testilinkki alleviivaus;fi;https://finnishcourses.fi/;Suomi
186;testiKuntien työpaikkoja POISTETAAN;testiKuntien työpaikkoja POISTETAAN;fi;https://www.seure.fi/;Suomi
187;Wikipedia - tietoa elämästä;Wikipedia - tietoa elämästä;fi;https://fi.wikipedia.org/wiki/El%C3%A4m%C3%A4;Suomi
198;linkkihakutesti;linkkihakutesti;fi;;Suomi
199;Tietoa Norjasta;Tietoa Norjasta;fi;http://www.nyinorge.no/no/;Suomi
203;Asuminen;Asuminen;fi;http://www.infopankki.fi/fi-FI/asuminen/;Suomi
204;multicultural and information centre;multicultural and information centre;fi;http://www.mcc.is/english/;Suomi
