sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
e1d811ca-a89e-4885-a274-b5c434858dc4;sv;Flytta till Finland;EU-medborgare | Icke EU-medborgare | Nordisk medborgare | Komihåglista för dig som flyttar till Finland | Registrering som invånare | Snabbguider för personer som flyttar till Finland;sv/flytta-till-finland;;
e1d811ca-a89e-4885-a274-b5c434858dc4;ru;Переезд в Финляндию;Все об иммиграции в Финляндию по работе, учебе и ПМЖ: контактные данные, ваши действия и ссылки на онлайн ресурсы для заявлений. ;ru/moving-to-finland;;
e1d811ca-a89e-4885-a274-b5c434858dc4;ar;الإنتقال إلى فنلندا;مواطنو الاتحاد الأوروبي | غير مواطني الاتحاد الأوروبي | مواطنو دول الشمال | قائمة التذكير للمنتقل إلى فنلندا | التسجيل كساكن | دليلات مختصرة للمنتقلين إلى فنلندا;ar/moving-to-finland;;
e1d811ca-a89e-4885-a274-b5c434858dc4;et;Soome elama asumine;EL-i kodanikud | Mitte-EL-i kodanikud | Põhjamaade kodanikud | Meelespea Soome elama asujale | Elanikuks registreerumine | Kiirjuhend Soome elama asujale;et/soome-elama-asumine;;
e1d811ca-a89e-4885-a274-b5c434858dc4;fr;S'installer en Finlande;Citoyens de l'UE | Citoyens non-européens | Citoyens des pays nordiques | Liste de contrôle pour les personnes venant s’installer en Finlande | Se faire enregistrer comme résident | Guide rapide pour ceux qui déménagent;fr/d-m-nagement-en-finlande;;
e1d811ca-a89e-4885-a274-b5c434858dc4;so;U soo guurista Finland ;Muwaadiyiinta Yurubiyanka | Aan aheyn muwaadin EU | Muwaadiniinta u dhashay wuqooyiga Yurub | Liiska xusuusta ee u soo guuraha Finland | Isu diiwaangelin degene | Tusmo fudud u soo guurayaasha Finland;so/u-soo-guurista-finland;;
e1d811ca-a89e-4885-a274-b5c434858dc4;es;Mudarse a Finlandia;Ciudadanos de la UE|Ciudadanos extracomunitarios|Ciudadanos de los países nórdicos|Lista esencial para la mudanza a Finlandia|Registrarse como residente|Guía rápida para las personas que emigran a Finlandia;es/mudarse-a-finlandia;;
e1d811ca-a89e-4885-a274-b5c434858dc4;tr;Finlandiya'ya taşınıldığında;AB vatandaşları | AB dışındaki ülkelerin vatandaşları | Kuzey ülkelerinin vatandaşları | Finlandiya göçmeni için hatırlatma listesi | İkâmetçi olarak kaydolma | Hızlı kılavuzları için Finlandiya’ya göçmeni;tr/finlandiya-ya-ta-n-ld--nda;;
e1d811ca-a89e-4885-a274-b5c434858dc4;zh;移居至芬兰;欧盟公民 | 非欧盟居民 | 北欧公民 | 赴芬移民备忘录 | 居民登记 | 移居芬兰者指南;zh/moving-to-finland;;
e1d811ca-a89e-4885-a274-b5c434858dc4;fa;مهاجرت به فنلاند;توابع کشورهای عضو اتحادیه اروپا | توابع کشورهای خارج از اتحادیه اروپا | توابع یکی از کشورهای اسکاندیناوی | فهرست اموری که مهاجرین به فنلاند باید بخاطر داشته باشند | ثبت شدن به عنوان ساکن | راهنماهای سریع و خلاصه برای مهاجر به فنلاند;fa/moving-to-finland;;
51c5216c-a8ea-4112-b281-ba9ce8658c77;sv;Coronaviruset och att flytta till Finland;;sv/flytta-till-finland/coronavirus;8144;Koronavirus ja muutto Suomeen (sv)
51c5216c-a8ea-4112-b281-ba9ce8658c77;ru;Коронавирус и переезд в Финляндию;;ru/moving-to-finland/coronavirus;8146;Koronavirus ja muutto Suomeen (ru)
51c5216c-a8ea-4112-b281-ba9ce8658c77;ar;فيروس كورونا والانتقال إلى فنلندا;;ar/moving-to-finland/coronavirus;8147;Koronavirus ja muutto Suomeen (ar)
51c5216c-a8ea-4112-b281-ba9ce8658c77;et;Koroonaviirus ja Soome elama asumine;;et/soome-elama-asumine/koroonaviirus;8148;Koronavirus ja muutto Suomeen (et)
51c5216c-a8ea-4112-b281-ba9ce8658c77;fr;Coronavirus et déménagement en Finlande;;fr/d-m-nagement-en-finlande/coronavirus;8149;Koronavirus ja muutto Suomeen (fr)
51c5216c-a8ea-4112-b281-ba9ce8658c77;so;Fayruska Korona iyo u soo guuridda Finland;;so/u-soo-guurista-finland/korona-fayraska;8150;Koronavirus ja muutto Suomeen (so)
51c5216c-a8ea-4112-b281-ba9ce8658c77;es;El traslado a Finlandia y el coronavirus;;es/mudarse-a-finlandia/coronavirus;8151;Koronavirus ja muutto Suomeen (es)
51c5216c-a8ea-4112-b281-ba9ce8658c77;tr;Koronavirüs ve Finlandiya'ya göç;;tr/finlandiya-ya-ta-n-ld--nda/koronavirus;8152;Koronavirus ja muutto Suomeen (tr)
51c5216c-a8ea-4112-b281-ba9ce8658c77;zh;在新冠病毒疫情期间移居至芬兰;;zh/moving-to-finland/coronavirus;8153;Koronavirus ja muutto Suomeen (zh)
51c5216c-a8ea-4112-b281-ba9ce8658c77;fa;ویروس کرونا و مهاجرت به فنلاند;;fa/moving-to-finland/coronavirus;8154;Koronavirus ja muutto Suomeen (fa)
6349989c-5b2c-4248-966e-acb55c7f5206;sv;EU-medborgare;;sv/flytta-till-finland/eu-medborgare;7886;EU-kansalaiset 101 (sv)
6349989c-5b2c-4248-966e-acb55c7f5206;ru;Граждане ЕС;;ru/moving-to-finland/eu-citizens;7888;EU-kansalaiset 101 (ru)
6349989c-5b2c-4248-966e-acb55c7f5206;ar;مواطنو الاتحاد الأوروبي;;ar/moving-to-finland/eu-citizens;7889;EU-kansalaiset 101 (ar)
